horizon,brier_score,model
120.0,0.06517846590364364,Cox PH
150.0,0.21450856077044742,Cox PH
180.0,0.2320709073359595,Cox PH
210.0,0.18509945563286523,Cox PH
240.0,0.08191503881916598,Cox PH
120.0,0.07024231800519597,Random Survival Forest
150.0,0.2311055282648156,Random Survival Forest
180.0,0.24505361547666077,Random Survival Forest
210.0,0.18082847508419678,Random Survival Forest
240.0,0.07407387170487584,Random Survival Forest
120.0,0.06443409883488703,Gradient Boosting Survival
150.0,0.2270213576329926,Gradient Boosting Survival
180.0,0.2546885771497146,Gradient Boosting Survival
210.0,0.17956090467450916,Gradient Boosting Survival
240.0,0.07438230739857349,Gradient Boosting Survival
