horizon,auc,model
120.0,0.488479262672811,Cox PH
150.0,0.5767463235294118,Cox PH
180.0,0.5840407470288624,Cox PH
210.0,0.48601398601398593,Cox PH
240.0,0.5502717391304348,Cox PH
120.0,0.5284178187403994,Random Survival Forest
150.0,0.5454963235294118,Random Survival Forest
180.0,0.5280135823429541,Random Survival Forest
210.0,0.5163170163170163,Random Survival Forest
240.0,0.6603260869565217,Random Survival Forest
120.0,0.5483870967741935,Gradient Boosting Survival
150.0,0.5376838235294118,Gradient Boosting Survival
180.0,0.5452037351443124,Gradient Boosting Survival
210.0,0.6008158508158509,Gradient Boosting Survival
240.0,0.7004076086956521,Gradient Boosting Survival
